Loss,AUC_train,AUPR_train,AUC_val,AUPR_val
1.023616402917564,0.8192513880984124,0.04077141799136781,0.7672629435108587,0.03050100385947867
0.8669387051279512,0.8714964340074798,0.07863039752038481,0.8300824524158917,0.07869005666250893
0.728401729845888,0.9132347141527573,0.13485685231949157,0.846194062193062,0.09038196642972887
0.6600271310851473,0.9279916032349216,0.15023182066470095,0.8538283612268759,0.11012391428833498
0.6568181384796212,0.9292725091418101,0.15485809328124858,0.8366471145921361,0.06827202106456645
0.6353764026933368,0.9345707692221841,0.175659593451281,0.868619854687705,0.11041240968027471
0.5956522378876313,0.9428275522253966,0.1834334692511639,0.8748544372071041,0.16105536484976726
0.5647957319331959,0.9487076828006703,0.20640572585806388,0.8771678823353108,0.16363848975111656
0.5313591156949365,0.9543487109960137,0.22729343208147074,0.882239489040296,0.16438136831120362
0.5090059974182274,0.9582635379733287,0.2495713785787265,0.8949107995913463,0.17724607687577004
0.4979760056423348,0.9596226278629412,0.2630581969950785,0.8896645248916513,0.1793780798192949
0.48394673088150525,0.9615483876698361,0.25536099847195476,0.8891528618809291,0.16649656195688656
0.46693899415398116,0.964065213290281,0.2752811366759617,0.9021440261853754,0.18987380049757563
0.44346692169447083,0.9675417954507346,0.2904518887946813,0.899363187380264,0.1740690760725574
0.45452509707466676,0.9660546600758135,0.29366016598970635,0.9007172551674102,0.17848566478532987
0.4417915484775301,0.9681699684242806,0.2919851111437728,0.897650293376756,0.15944584624345823
0.42398761636555465,0.9702441096171371,0.29912229878081875,0.8992255239138637,0.18713756032688827
0.4090610722794919,0.97197513191087,0.3154641187646472,0.9088349856259845,0.1870580798314803
0.399152666612824,0.9736955859543228,0.3397364448508322,0.913690634492296,0.2244986007494702
0.377848696440317,0.9761823345502143,0.34324089586487316,0.9099843514250164,0.24633220742567302
0.37164933774708575,0.9767379499300959,0.3399462848799194,0.913898095267312,0.22638658833194455
0.3942755609750748,0.9745000802406683,0.32424494220922206,0.9109431954006094,0.2035012012860964
0.3547114856293981,0.9782751853756848,0.35031071628838745,0.9128544829661829,0.23679017417571036
